key,label_manual
2026-03-21 09:43:16|running,hard
2025-05-21 19:49:57|running,hard
2025-10-06 08:50:58|running,hard
2025-11-02 09:10:20|running,hard
2025-12-16 15:54:20|running,easy
2025-10-25 19:53:50|running,easy
