sport,start_time,duration,cadence,distance,avg_heart_rate,max_heart_rate,speed,total_ascent,total_descent,training_stress_score,pct_z1,pct_z2,pct_z3,pct_z4,pct_z5
running,2026-05-18 11:12:17,983.0,83,3140.08,136,148,3.192,26.0,17.0,10.0,22.16,77.84,0.0,0.0,0.0
running,2026-05-19 11:24:39,2961.0,86,11098.45,153,173,3.753,74.0,71.0,51.0,2.62,31.71,47.28,18.39,0.0
training,2026-05-20 10:53:26,1377.0,0,0,90,111,0,0,0,3.0,100.0,0.0,0.0,0.0,0.0
running,2026-05-20 16:55:02,1904.0,84,6126.0,146,162,3.214,22.0,21.0,28.0,17.55,52.23,30.22,0.0,0.0
running,2026-05-20 17:45:18,2294.0,77,6830.53,155,185,2.976,19.0,19.0,40.0,7.8,26.36,31.55,20.35,13.94
running,2026-05-20 18:28:31,274.0,82,861.93,142,149,3.137,2.0,1.0,4.0,8.73,91.27,0.0,0.0,0.0
running,2026-05-22 06:50:03,2247.0,84,7128.14,139,156,3.192,42.0,51.0,26.0,16.45,74.9,8.65,0.0,0.0
cycling,2026-05-22 16:11:09,5411.0,0,35575.09,112,141,6.647,144.0,146.0,29.0,94.78,5.22,0.0,0.0,0.0
running,2026-05-23 08:46:25,4304.0,70,7955.79,138,189,1.847,26.0,25.0,42.0,28.71,58.97,6.62,3.68,2.03
running,2026-05-24 07:03:10,3636.0,86,12666.77,141,153,3.519,85.0,83.0,46.0,7.31,87.9,4.79,0.0,0.0
running,2026-05-25 06:45:43,2781.0,85,9226.06,136,152,3.35,65.0,68.0,32.0,24.95,72.68,2.37,0.0,0.0
cycling,2026-05-25 08:17:01,9639.0,0,60448.13,127,174,6.383,315.0,316.0,77.0,68.71,25.35,3.22,2.49,0.22
cycling,2026-05-27 06:37:35,2026.0,0,11064.29,137,164,5.739,61.0,76.0,20.0,33.27,49.1,15.6,2.03,0.0
cycling,2026-05-27 14:28:13,2151.0,0,11268.66,130,163,5.492,67.0,57.0,18.0,48.83,46.89,3.79,0.48,0.0
running,2026-05-27 16:49:32,2079.0,82,5869.85,145,161,2.851,23.0,20.0,28.0,26.99,21.18,51.83,0.0,0.0
running,2026-05-27 17:44:30,1811.0,75,5161.8,146,175,2.849,13.0,14.0,25.0,19.17,34.53,30.0,15.52,0.77
running,2026-05-27 18:40:31,149.0,82,441.93,133,142,2.942,2.0,2.0,2.0,24.67,75.33,0.0,0.0,0.0
running,2026-05-28 06:30:08,2068.0,84,6484.35,135,149,3.193,47.0,45.0,23.0,21.05,78.95,0.0,0.0,0.0
training,2026-05-28 10:34:49,3008.0,0,0,86,118,0,0,0,7.0,100.0,0.0,0.0,0.0,0.0
running,2026-05-29 16:28:18,3324.0,80,9050.31,132,152,2.734,42.0,38.0,34.0,61.32,35.79,2.89,0.0,0.0
running,2026-05-30 08:36:00,5224.0,73,11617.41,144,188,2.247,51.0,42.0,62.0,20.05,27.79,28.68,21.7,1.78
running,2026-05-31 10:18:06,3468.0,87,13150.97,149,170,3.789,74.0,72.0,55.0,4.59,59.23,18.63,17.54,0.0
running,2026-06-01 07:34:06,1736.0,85,6139.92,141,155,3.553,47.0,50.0,22.0,4.72,90.79,4.49,0.0,0.0
running,2026-06-01 16:48:34,1900.0,84,6362.27,131,153,3.401,41.0,45.0,19.0,46.68,52.47,0.85,0.0,0.0
training,2026-06-02 10:36:42,2031.0,0,760.32,89,117,0.375,0.0,0.0,5.0,100.0,0.0,0.0,0.0,0.0
running,2026-06-03 16:49:56,1926.0,81,5916.81,135,162,3.068,23.0,21.0,21.0,20.43,71.31,8.26,0.0,0.0
running,2026-06-03 17:39:54,2305.0,84,8011.35,138,165,3.472,21.0,20.0,26.0,24.26,64.14,11.3,0.3,0.0
running,2026-06-04 15:51:47,2823.0,84,9016.04,132,148,3.245,93.0,76.0,29.0,26.72,73.28,0.0,0.0,0.0
training,2026-06-04 16:48:29,5551.0,0,0,102,160,0,0,0,24.0,90.47,7.91,1.62,0.0,0.0
